#,After Over Runs,Ball Number,Batsman Changed,Batsman Score,Deliveries Faced,Boundries,Extra Type,Innings,Is Free Hit,Runs Conceded,Outcome of Delivery,OutcomeCategory,Over Number,Partnership,Partnership Deliveries,PartnershipStage,Partneship Runs,Power Play,Previous Over Runs,Stage,Runs in the over,Wicket in the Same Over,Wickets,Gendar,Type,Outcome of Delivery - PLS,Batsman - Boundries - Cat,Batsman - Deliveries Faced - Cat,Batsman - Score - CAT,Batsman - Strike Rate,Batsman Strike Rate - Cat,Bolwer - Runs Conceded- Cat,Bowler - Economy,Bowler - Economy - Cat,Bowler - Wickets-Cat,Bowler Overs,Partnership Deliveries - Cat,Partnership Runs - Cat,Partnership Strike Rate,Partnership Strike Rate - Cat,Previous Over Runs - Cat,Runs in the Over - Cat
1,6,2,"",6,5,1,Wide,2,"",8,4,High Impact,2,1,11,Frontline,13,Yes,5,PowerPlay,8,No,0,Male,Franchaise,4,Low,Low,Low,120,Medium,Low,8,Medium,No Wickets,1,Low,Low,118.1818182,Medium,Low,Medium
2,5,6,"",45,31,7,Wide,2,"",30,2,Medium Impact,9,1,53,Frontline,77,No,8,MiddleOvers,9,No,0,Male,Franchaise,2,High,Medium,Middle,145.1612903,Medium,Medium,10,Medium,No Wickets,3,High,High,145.2830189,Medium,Medium,Medium
3,4,3,"",2,1,0,Wide,2,"",17,1,Less Impact,16,3,1,Frontline,2,No,13,EndOvers,6,Yes,1,Male,Franchaise,1,Low,Low,Low,200,High,Medium,5.666666667,Low,Low,3,Low,Low,200,High,High,Low
4,13,3,"",15,10,1,Wide,2,"",33,4,High Impact,19,4,4,Tailend,10,No,9,EndOvers,10,Yes,1,Male,Franchaise,4,Low,Low,Low,150,Medium,High,8.25,Medium,Low,4,Low,Low,250,High,Medium,Medium
5,,4,"",8,5,1,Wide,2,"",25,4,High Impact,20,7,1,MiddleOrder,4,No,14,EndOvers,9,Yes,1,Male,Franchaise,4,Low,Low,Low,160,Medium,Medium,8.333333333,Medium,Low,3,Low,Low,400,High,High,Medium
6,17,1,"",16,13,1,Wide,1,"",6,0,No Impact,5,1,29,Frontline,33,Yes,8,PowerPlay,6,No,0,Male,Franchaise,0,Low,Medium,Low,123.0769231,Medium,Low,6,Low,No Wickets,1,Low,Low,113.7931034,Medium,Medium,Low
7,9,2,"",17,13,2,Wide,1,"",20,1,Less Impact,12,2,27,Frontline,41,No,8,MiddleOvers,9,No,0,Male,Franchaise,1,Medium,Medium,Low,130.7692308,Medium,Medium,10,Medium,No Wickets,2,Low,Medium,151.8518519,Medium,Medium,Medium
8,8,3,"",19,15,2,Wide,1,"",31,0,No Impact,13,2,33,Frontline,51,No,10,MiddleOvers,9,No,1,Male,Franchaise,0,Medium,Medium,Low,126.6666667,Medium,High,7.75,Medium,Low,4,Medium,Medium,154.5454545,Medium,Medium,Medium
9,5,6,"",3,5,0,Wide,1,"",23,W,Negative,15,3,7,Frontline,6,No,8,EndOvers,5,No,0,Male,Franchaise,-1,Low,Low,Low,60,Low,Medium,7.666666667,Medium,No Wickets,3,Low,Low,85.71428571,Low,Medium,Low
10,13,4,"",1,2,0,Wide,1,"",24,1,Less Impact,16,5,4,Tailend,4,No,5,EndOvers,4,Yes,2,Male,Franchaise,1,Low,Low,Low,50,Low,Medium,6,Low,Low,4,Low,Low,100,Low,Low,Low
